LOCATION,POWER,SELF-PROTECTION,Average earth discharge density DDT [Rays/km^2-año],Maximum ground discharge density DDT [Rays/km^2-año],Burning rate  [Failures/year],Criticality according to previous study for ceramics level,Removable connectors,Type of clients,Number of users,Electric power not supplied EENS [kWh] ,Type of installation,Air network,Circuit Queue,km of network LT:,Burned transformers 2019
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 2,94,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.32362,0
1,10,0,3.15560166,6.6,0.0000,0,1,OFFICIAL,1,270,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.30036,0
1,25,0,3.15560166,6.6,0.0000,0,1,STRATUM 2,74,405,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.29695,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 6,30,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.12575,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,24,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.16605,0
1,30,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,31,486,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.1918,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,140,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.69712,0
1,45,0,3.15560166,6.6,0.5000,0,1,STRATUM 2,47,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.13414,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 1,63,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.34577,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,46,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.19579,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 2,39,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.1886,1
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 2,86,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.36148,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 2,41,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.25781,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,98,1215,POLE,1,1,0.34903,0
0,10,0,4.86888454,11.7,0.5000,1,1,STRATUM 1,3,162,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.4629,0
1,30,0,3.15560166,6.6,0.0000,0,1,STRATUM 2,43,486,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.17294,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,52,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.17004,0
1,45,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,44,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.25415,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,16,1215,POLE WITH ANTI-FRAUD NET,1,0,0.2947,0
1,30,0,3.15560166,6.6,0.0000,0,1,STRATUM 5,14,486,MACRO WITHOUT ANTI-FRAUD NET,1,1,0,0
1,1125,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,183,18225,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.59143,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 4,58,1822.5,POLE WITH ANTI-FRAUD NET,1,0,0.47448,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,103,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.41517,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,149,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.5038,0
1,75,0,3.15560166,6.6,0.0000,0,1,STRATUM 3,30,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.18758,0
1,112.5,0,3.15560166,6.6,0.0000,0,1,COMMERCIAL,1,3037.5,POLE,1,1,0,0
